ProductName,sentiment_pred,Rate,text,aspect_Price_sentiment,aspect_Quality_sentiment,aspect_Delivery_sentiment,aspect_Price_sentences,aspect_Quality_sentences,aspect_Delivery_sentences
"FLiX (Beetel Flow USB to Micro USB PVC Data Sync & 12W(2.4A) Fast Charging Cable,Made in India,480Mbps Data Sync,Solid Cable,1 Meter Long cable for all Andriod & Micro USB Devices (Black)(XCD-FPM01)",Positive,4,"worked on iphone 7 and didnât work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well. worked on iphone 7 and didnât work on iphone xr, i didnât like it. still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it . looks last long.,the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,it's great for charging devices with various types of ports. but works best when charging one device at a time.,good item.",Positive,Not Mentioned,Positive,"worked on iphone 7 and didnât work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well.",,"still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it ."
"FLiX (Beetel) USB to iPhone Lightning Textured Pattern Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Data Sync, Tough Cable, 1 Meter Long USB Cable for Apple Devices (Black)(XCD-L102)",Positive,4,"worked on iphone 7 and didnât work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well. worked on iphone 7 and didnât work on iphone xr, i didnât like it. still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it . looks last long.,the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,it's great for charging devices with various types of ports. but works best when charging one device at a time.,good item.",Positive,Not Mentioned,Positive,"worked on iphone 7 and didnât work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well.",,"still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it ."
Cotbolt Silicone Case Cover Compatible for Samsung BN59-01312A QLED 8K 4K Smart TV Remote Shockproof Protective Remote Cover (Black),Positive,4,"damaged product,good quality aa well as fit,good but fits loose at top, bit tight at bottom.,fits the samsung smart tv remote perfectly!!,perfectly fitted,costly but good,average product,a worthy product quality is good. but received the damaged product. was expecting the item but when the delivery got late i had to understand unfortunately the product is of no good to me. this item was glued at the edges,,good but fits loose at top, bit tight at bottom. but still, can go with the purchase.,this fits the samsung smart tv remote perfectly, all edges are covered too, so if you do drop you remote from a decent height, it will not let the remote get scratched or cracked but you can't expect it to save you from all kinds of drops.i believe i needed it because my kid keeps dropping the remote and i was worried because the samsung smart remote is quite expensive. it even fits the slightly tilted shape of the remote quite perfectly.,product is good as described and fitted perfectly very smoothly. thanks amazon,a good product in a higher price side,average ok ok quality,fit can be better as side portions are loose and might reduce overall cover's life as kids put finger and small items into it. however the top and lower portions are tight enough to meet the purpose. luminous blue gives a decent glow when its in pitch dark.",Positive,Positive,Positive,"!,perfectly fitted,costly but good,average product,a worthy product quality is good. | but still, can go with the purchase.,this fits the samsung smart tv remote perfectly, all edges are covered too, so if you do drop you remote from a decent height, it will not let the remote get scratched or cracked but you can't expect it to save you from all kinds of drops.i believe i needed it because my kid keeps dropping the remote and i was worried because the samsung smart remote is quite expensive. | thanks amazon,a good product in a higher price side,average ok ok quality,fit can be better as side portions are loose and might reduce overall cover's life as kids put finger and small items into it.","damaged product,good quality aa well as fit,good but fits loose at top, bit tight at bottom.,fits the samsung smart tv remote perfectly! | !,perfectly fitted,costly but good,average product,a worthy product quality is good. | thanks amazon,a good product in a higher price side,average ok ok quality,fit can be better as side portions are loose and might reduce overall cover's life as kids put finger and small items into it.",was expecting the item but when the delivery got late i had to understand unfortunately the product is of no good to me.
"Amkette 30 Pin to USB Charging & Data Sync Cable for iPhone 3G/3GS/4/4s/iPad 1/2/3, iPod Nano 5th/6th Gen and iPod Touch 3rd/4th Gen -1.5m (Black)",Positive,4,"it works,reasonably good product,very usefull,work with ipod perfectly.,not a good product,wonderful product and fast charging,nice cable,usefull to me the biggest issue with buying an accessory for an apple product from a non-apple supplier is you will never know if this will work. this products is working. i used it an old ipod touch. i am able to charge and transfer data. i hope the product has good shelf-life as well. value for money,after a bad experience with fastx charging cable for ipad, i was apprehensive to buy any such thing online. but, then i decided to try once more with amkette.to my delight, the cable fitted the port and started charging the ipad. charging is slower than the original apple cable, but it will do if you're not a heavy user.good value for money. i hope it works for more than 6 months, at least.,i loose the hope to revive my iphone4 i found in some old items. old cable was damaged and not able to charge it. i ordered the cable just to check if my old iphone can revive even after almost 7-8 years without charging. got the cable on time and the quality of packing and cable look impressive and to my surprize my phone got charged and started working. i am thankful the cable helped me to revive my old phone.,working with ipod perfectly.,not a good product,fits well 100% fast charging great product.,my ipad 2 become live again,very good condition and its useful for me",Not Mentioned,Positive,Positive,,got the cable on time and the quality of packing and cable look impressive and to my surprize my phone got charged and started working.,"it works,reasonably good product,very usefull,work with ipod perfectly.,not a good product,wonderful product and fast charging,nice cable,usefull to me the biggest issue with buying an accessory for an apple product from a non-apple supplier is you will never know if this will work. | value for money,after a bad experience with fastx charging cable for ipad, i was apprehensive to buy any such thing online. | i am thankful the cable helped me to revive my old phone.,working with ipod perfectly.,not a good product,fits well 100% fast charging great product.,my ipad 2 become live again,very good condition and its useful for me"
"WZATCO Pixel | Portable LED Projector | Native 720p with Full HD 1080P Support | 2000 Lumens (200 ANSI) | 176"" Large Screen | Projector for Home and Outdoor | Compatible with TV Stick, PC, PS4",Positive,4,"beat projector for good price,value for money,excellent,wow!!! just wow!! ð¥ð¥,recently purchased and started using from yesterday,it's beautiful, premium portable useful gadget,brightness is excellent.,experience good projector for this price range...nice picture quality.. stylish design and finishing also good but low audio volume.it's better to use extra speakers...,good quality for the price,it was amazing to see it in big picture at home.. and the pixel projector was rocking... but one thing we can enjoy the big picture well in minimal or no light....,the projector is soo good for a small home theatre!! the video output is damn good from a small device!!! connected it with my amazon fire stick!! iâm really satisfied with the purchase! â¤ï¸,i will put a detailed review after a month. however at first glance, this product is worth for 6500 rupees you pay.,,i give 5 out of 5 star because resolution is 720p.,",Positive,Positive,Not Mentioned,"beat projector for good price,value for money,excellent,wow!!! | ð¥ð¥,recently purchased and started using from yesterday,it's beautiful, premium portable useful gadget,brightness is excellent.,experience good projector for this price range...nice picture quality.. stylish design and finishing also good but low audio volume.it's better to use extra speakers...,good quality for the price,it was amazing to see it in big picture at home.. and the pixel projector was rocking... but one thing we can enjoy the big picture well in minimal or no light....,the projector is soo good for a small home theatre!! | however at first glance, this product is worth for 6500 rupees you pay.,,i give 5 out of 5 star because resolution is 720p.,","ð¥ð¥,recently purchased and started using from yesterday,it's beautiful, premium portable useful gadget,brightness is excellent.,experience good projector for this price range...nice picture quality.. stylish design and finishing also good but low audio volume.it's better to use extra speakers...,good quality for the price,it was amazing to see it in big picture at home.. and the pixel projector was rocking... but one thing we can enjoy the big picture well in minimal or no light....,the projector is soo good for a small home theatre!!",
SoniVision SA-D10 SA-D100 SA-D40 Home Theater Systems Remote Compatible with Sony RM-ANU156,Positive,4,"better than original sony remote control,good delivery time,recommend to buy,value for money but with other considerations,excellent,good,superb,excellent product!! works well superbâ¦ am writing this after 2 months usageâ¦ simply super productâ¦ should go blindlyâ¦ never dissatisfied..,ok,can buy in in this price range,delivery was fast but the product quality is just fine not very promising.issue: the battery got struck into the remote, though it is working fine for my sony d100 but i may have to either break the remote to take out the battery, rest i think everything is fine at the price.,excellent.working super,first remote i received was not working, but seller replaced it and that is working fine.,price is good.quality is also super,thank you so much for selling this product with best price.",Positive,Positive,Positive,"works well superbâ¦ am writing this after 2 months usageâ¦ simply super productâ¦ should go blindlyâ¦ never dissatisfied..,ok,can buy in in this price range,delivery was fast but the product quality is just fine not very promising.issue: the battery got struck into the remote, though it is working fine for my sony d100 but i may have to either break the remote to take out the battery, rest i think everything is fine at the price.,excellent.working super,first remote i received was not working, but seller replaced it and that is working fine.,price is good.quality is also super,thank you so much for selling this product with best price.","works well superbâ¦ am writing this after 2 months usageâ¦ simply super productâ¦ should go blindlyâ¦ never dissatisfied..,ok,can buy in in this price range,delivery was fast but the product quality is just fine not very promising.issue: the battery got struck into the remote, though it is working fine for my sony d100 but i may have to either break the remote to take out the battery, rest i think everything is fine at the price.,excellent.working super,first remote i received was not working, but seller replaced it and that is working fine.,price is good.quality is also super,thank you so much for selling this product with best price.","better than original sony remote control,good delivery time,recommend to buy,value for money but with other considerations,excellent,good,superb,excellent product!! | works well superbâ¦ am writing this after 2 months usageâ¦ simply super productâ¦ should go blindlyâ¦ never dissatisfied..,ok,can buy in in this price range,delivery was fast but the product quality is just fine not very promising.issue: the battery got struck into the remote, though it is working fine for my sony d100 but i may have to either break the remote to take out the battery, rest i think everything is fine at the price.,excellent.working super,first remote i received was not working, but seller replaced it and that is working fine.,price is good.quality is also super,thank you so much for selling this product with best price."
"Wayona 3in1 Nylon Braided 66W USB Fast Charging Cable with Type C, Lightening and Micro USB Port, Compatible with iPhone, iPad, Samsung Galaxy, OnePlus, Mi, Oppo, Vivo, iQOO, Xiaomi (1M, Black)",Positive,4,"best rugged cable that supports most of the fast charging standards,it's good ð,nice cable, although higher ampere might heat up and damage the cable,very nice product,nice product with good quality,great product, greater utility, greatest value provider!,awesome,good prodct affordable, available and multi purpose cable best suitable for traveling and reducing overall cables to carry,warking fine ð build also good,it is a nice cable as it fits in most of the phones and devices.sturdy one, no fear of damage by wear and tear.however, i felt that the cable is heated up substantially with higher currents.this uncommon in standard phone cables provided by oems.,i have been using this cable from last few months and very much satisfied with the this product and i recommend to go for it.,the cable quality is very good. charging time is good with availability of different cable types.,considering the price compared to competitors at market, this is cheap, but no compromises have been made with respect to sturdiness or quality. the wires are wonderful, despite using it for more over a month now, no issues at all were faced regarding wire tangling, torn out wires etc. very sturdy and pretty easy to carry.regarding charging speed, it delivers what it promised. the quality of the ports are also solid, no issue had been faced at all.packaging was great, performance of the product even greater. the wires are long enough, though in my personal opinion, a little bit more lengthy would be icing on the cake, making the product absolutely a perfect one!overall, very happy with purchasing it. a great vfm product for all those having multiple type devices with them. this one single cable has a solution to charging it all!,warp charge is working fine and satisfactory. lightning cable is working in normal condition rather than fats charging.but overall the product is awesome and felt 100% value for money.,like",Positive,Positive,Positive,"charging time is good with availability of different cable types.,considering the price compared to competitors at market, this is cheap, but no compromises have been made with respect to sturdiness or quality.","best rugged cable that supports most of the fast charging standards,it's good ð,nice cable, although higher ampere might heat up and damage the cable,very nice product,nice product with good quality,great product, greater utility, greatest value provider!,awesome,good prodct affordable, available and multi purpose cable best suitable for traveling and reducing overall cables to carry,warking fine ð build also good,it is a nice cable as it fits in most of the phones and devices.sturdy one, no fear of damage by wear and tear.however, i felt that the cable is heated up substantially with higher currents.this uncommon in standard phone cables provided by oems.,i have been using this cable from last few months and very much satisfied with the this product and i recommend to go for it.,the cable quality is very good. | charging time is good with availability of different cable types.,considering the price compared to competitors at market, this is cheap, but no compromises have been made with respect to sturdiness or quality. | the quality of the ports are also solid, no issue had been faced at all.packaging was great, performance of the product even greater.","best rugged cable that supports most of the fast charging standards,it's good ð,nice cable, although higher ampere might heat up and damage the cable,very nice product,nice product with good quality,great product, greater utility, greatest value provider!,awesome,good prodct affordable, available and multi purpose cable best suitable for traveling and reducing overall cables to carry,warking fine ð build also good,it is a nice cable as it fits in most of the phones and devices.sturdy one, no fear of damage by wear and tear.however, i felt that the cable is heated up substantially with higher currents.this uncommon in standard phone cables provided by oems.,i have been using this cable from last few months and very much satisfied with the this product and i recommend to go for it.,the cable quality is very good."
"Hi-Mobiler iPhone Charger Lightning Cable,2 Pack Apple MFi Certified USB iPhone Fast Chargering Cord,Data Sync Transfer for 13/12/11 Pro Max Xs X XR 8 7 6 5 5s iPad iPod More Model Cell Phone Cables",Positive,4,"average,nice in this price,nice,nice,good product but takes long time to be delivered,misleading title and description,phone is not getting charged fast.,works as expected shown 2 pieces, received only one. also it's not 6ft at all as mentioned. did feel cheated. charging is ok. the reason i opted for this is just that i needed one iphone charger with usb port.,it is actually set of 2 three feet cables, both working fine for me. bought for emergency use and having no issues after a month.,bought 2months back only.product is good,nice and value for money,good product but be prepared for long lead time,misleading title and descriptionitâs not 6ft cable,better to use original item,just bought it so not sure of durability or sturdiness but it was very cheap and so wasnât sure how good will it work but it works perfectly fine",Neutral,Not Mentioned,Neutral,"average,nice in this price,nice,nice,good product but takes long time to be delivered,misleading title and description,phone is not getting charged fast.,works as expected shown 2 pieces, received only one. | bought for emergency use and having no issues after a month.,bought 2months back only.product is good,nice and value for money,good product but be prepared for long lead time,misleading title and descriptionitâs not 6ft cable,better to use original item,just bought it so not sure of durability or sturdiness but it was very cheap and so wasnât sure how good will it work but it works perfectly fine",,"average,nice in this price,nice,nice,good product but takes long time to be delivered,misleading title and description,phone is not getting charged fast.,works as expected shown 2 pieces, received only one."
"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, White)",Positive,4,"good,thank you amazon very good charging cable,good,very good product,good quality,very good product,this is fast charging usb!,simply perfect at the price of below 100 everything is fine but it is bulky and hard, it should be softer and thinner.....,thank you amazon very good charging cable ð,good,good one,quality is good. worth for 150-200 â¹. short but durable.,very good product . satisfied..,this is fast charging c pin usb!you can purchase it.,nice product at price of below 100",Positive,Positive,Positive,"good,thank you amazon very good charging cable,good,very good product,good quality,very good product,this is fast charging usb!,simply perfect at the price of below 100 everything is fine but it is bulky and hard, it should be softer and thinner.....,thank you amazon very good charging cable ð,good,good one,quality is good. | worth for 150-200 â¹. | satisfied..,this is fast charging c pin usb!you can purchase it.,nice product at price of below 100","good,thank you amazon very good charging cable,good,very good product,good quality,very good product,this is fast charging usb!,simply perfect at the price of below 100 everything is fine but it is bulky and hard, it should be softer and thinner.....,thank you amazon very good charging cable ð,good,good one,quality is good. | short but durable.,very good product .","good,thank you amazon very good charging cable,good,very good product,good quality,very good product,this is fast charging usb!,simply perfect at the price of below 100 everything is fine but it is bulky and hard, it should be softer and thinner.....,thank you amazon very good charging cable ð,good,good one,quality is good. | satisfied..,this is fast charging c pin usb!you can purchase it.,nice product at price of below 100"
"Caprigo Heavy Duty TV Wall Mount Bracket for 14 to 32 Inch LED/HD/Smart TVâs, Universal Fixed TV Wall Mount Stand (M452)",Positive,4,"good quality product with many screws and nuts,nice product,ok ok product,itâs accuracy,screws can be a problem.,good quality for 32"" tv,perfect fit for my sony tv,this costs approx 200 in the local market. my 32 inch tv fits fine, also 55 inch tv can be wall mount for sure. good product quality. various sizes screws and nuts included in this product,nice product,i am giving 3 stars because screws provide in the product do not fit properly. i had to get it separately to install.,i love to like itâs accuracy of fitting.,i had to makeshift the screws to fit the grill as the screws were long and had to add washer to make it fit.,i installed my self,it perfectly fit on my sony tv (32 inch). stand is sturdy and good. deducting 1 start as i don't see anything on the sides of the stand which can prevent my tv from falling on side, so i had to little bit bend the sides of stand so that tv doesn't fall, if someone pulls it from left or right. otherwise it's a good stand.,nothing to write. it's a basic universal stand. expensive here on amazon. turns out, the same thing was from 200 at a local hardware / electronic/light store",Positive,Positive,Not Mentioned,"good quality product with many screws and nuts,nice product,ok ok product,itâs accuracy,screws can be a problem.,good quality for 32"" tv,perfect fit for my sony tv,this costs approx 200 in the local market. | expensive here on amazon.","good quality product with many screws and nuts,nice product,ok ok product,itâs accuracy,screws can be a problem.,good quality for 32"" tv,perfect fit for my sony tv,this costs approx 200 in the local market. | good product quality.",
"FLiX (Beetel) 3in1 (Type C|Micro|Iphone Lightening) Textured Pattern 3A Fast Charging Cable with QC & PD Support for Type C,Micro USB & Lightning Iphone Cable,Made in India,1.5 Meter Long Cable(T101)",Positive,4,"worked on iphone 7 and didnât work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well. worked on iphone 7 and didnât work on iphone xr, i didnât like it. still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it . looks last long.,the sturdiness will depend on the manner of its use. but its speed of charging is great. very good product for the average income group.,it's great for charging devices with various types of ports. but works best when charging one device at a time.,good item.",Positive,Not Mentioned,Positive,"worked on iphone 7 and didnât work on xr,good one,dull physical looks,just buy it,go for it,about the product,get charging cable at the price,working well.",,"still, i use it for my work.,product is quite good and is fast charging.loved it.,i like it ."
"Cubetek 3 in 1 LCD Display V5.0 Bluetooth Transmitter Receiver, Bypass Audio Adapter with Aux, Optical, Dual Link Support for TV, Home Stereo, PC, Headphones, Speakers, Model: CB-BT27",Neutral,4,"good,does the job. works with two devices,positive review- almost good and useful,hissing sound output from (vise tv) vijay sales.,acceptable sound, no hassle of charging,excellent product,not good range,very good atlast i connected successfully. working good. but sound volume & clarity not adequate. durability, to be assessed. dear amazon.in, tell the seller to write connecting procedure clearly.manual printing also is bad. i had to struggle.,does what it says. works well to connect two bluetooth devices to any other device like a laptop, smart tv, etc. can take a bit of time to pair two devices. but the manual in the box helps.sound quality over aux cable too is good. so, even if you do not have a digital output or rca you can still use it. bit bit flimsy and delicate. but then you don't need to move it around everyday.,disadvantage - the sound and video lag with distance while connecting bluetooth with headphones.pairing with headphones difficult (need to wait long)feels volumes low.,,i got this to add-on to a high-end system, which traditionally doesn't have the facility. however it's often requested when guests come over. i was using a phoenix transreceiver, but the constant need of charging and the single indicator led made it difficult to integrate into this kind of application. the optical out is connected to a dual ess9028 dac, and the device used for transmission is the ipad air.this lacks a battery, which is a big differentiator. this means it is not exactly portable, and the form factor reinforces that 'feature'. it is intended to be a desktop unit, and it comes with a reasonable set of cables. the quality of the included cables is quite poor, so it's best to use something else.compared to the direct input from usb, the overall sound is poorer, with a shrunken soundstage and coarse vocals and treble. still, this is being used in a high-end system - i suspect with many lesser speaker/amp/dacs it will be acceptable. at maximum output, the level is about 1-2db lower than a direct usb connection to the dac.it is around the same as my signature acoustics unit, which is 1/3rd the size but uses a battery, and doesn't have a volume control or the bypass feature, or the nice display which is handy if you are close by.the bypass is one of the highlights of this device, it basically connects the two optical ports together in passthrough, and allows you to use both bt and another optical source/receiver - though only either can be used at a time.the build quality is average. it is lightweight enough that a set of decent cables will tip it over backwards, hence the thin cables supplied. the onboard volume control is nice, if a bit redundant given everybody uses their handheld or other device to control volume (i use the dac remote). it also has only 16 clicks, so the control will be very coarse. the display has no spelling errors and while the resolution is low, it is sufficient for the tasks.overall, it's quite expensive but is more kitted out than similar devices. the sound quality limitations of bt transmission (compulsory resampling and lossy compression, among others) cannot be overcome even with the fanciest devices and protocols, so i'd rank it close to the top of what you can get as an add-on for a hifi system. for more 'normal' usage, there are cheaper options available.,excellent product,bluetooth range is very less,bought it to connect my old sony 5.1 blueray home theater with mi 4k box which does not have optical sound port. it has an spdif optical port which can connect to the home theater optical in",Positive,Positive,Not Mentioned,"the display has no spelling errors and while the resolution is low, it is sufficient for the tasks.overall, it's quite expensive but is more kitted out than similar devices. | for more 'normal' usage, there are cheaper options available.,excellent product,bluetooth range is very less,bought it to connect my old sony 5.1 blueray home theater with mi 4k box which does not have optical sound port.","but the manual in the box helps.sound quality over aux cable too is good. | the quality of the included cables is quite poor, so it's best to use something else.compared to the direct input from usb, the overall sound is poorer, with a shrunken soundstage and coarse vocals and treble. | at maximum output, the level is about 1-2db lower than a direct usb connection to the dac.it is around the same as my signature acoustics unit, which is 1/3rd the size but uses a battery, and doesn't have a volume control or the bypass feature, or the nice display which is handy if you are close by.the bypass is one of the highlights of this device, it basically connects the two optical ports together in passthrough, and allows you to use both bt and another optical source/receiver - though only either can be used at a time.the build quality is average. | the sound quality limitations of bt transmission (compulsory resampling and lossy compression, among others) cannot be overcome even with the fanciest devices and protocols, so i'd rank it close to the top of what you can get as an add-on for a hifi system.",
VW 80 cm (32 inches) HD Ready Android Smart LED TV VW32PRO (Black),Positive,4,"tv is good in price range,inexpensive smart tv,good,cheap and best,in this budget itâs so good,not bad ok,very goodðð,very nice tv is good in this price range,it's an excellent product for this price range,good,picture quality is good,amazing product sound quality is okay and smart features is little bit slow but itâs okay overall â love this product,ok super work,good product,",Positive,Positive,Not Mentioned,"tv is good in price range,inexpensive smart tv,good,cheap and best,in this budget itâs so good,not bad ok,very goodðð,very nice tv is good in this price range,it's an excellent product for this price range,good,picture quality is good,amazing product sound quality is okay and smart features is little bit slow but itâs okay overall â love this product,ok super work,good product,","tv is good in price range,inexpensive smart tv,good,cheap and best,in this budget itâs so good,not bad ok,very goodðð,very nice tv is good in this price range,it's an excellent product for this price range,good,picture quality is good,amazing product sound quality is okay and smart features is little bit slow but itâs okay overall â love this product,ok super work,good product,",
"Amazon Brand - Solimo 65W Fast Charging Braided Type C to C Data Cable | Suitable For All Supported Mobile Phones (1 Meter, Black)",Positive,3,"the cable works but is not 65w as advertised i have a pd supported car charger and i bought solimo cables previously which work perfectly fine but this one doesn't trigger full 3a fast charging unlike solimo usb a to usb c, which is strange because this is supposed to be a 65w charger with 4a fast charging support.anyways it's a good built product and works but not as expected. it might be compatible with your chargers but i tested 2 different car chargers and both didn't go full speed.",Not Mentioned,Not Mentioned,Positive,,,"the cable works but is not 65w as advertised i have a pd supported car charger and i bought solimo cables previously which work perfectly fine but this one doesn't trigger full 3a fast charging unlike solimo usb a to usb c, which is strange because this is supposed to be a 65w charger with 4a fast charging support.anyways it's a good built product and works but not as expected."
VU 108 cm (43 inches) Premium Series Full HD Smart LED TV 43GA (Black),Positive,4,"vu brand superb quality,value for price,thik hai but android nahi hai,good model for entry level 32"" tv need.,good product value of money,great tv,the sound quality, speakers, picture quality are just ok. mid grade product at most,picture quality super,good quality , value for money.. in time installed,tv thik hai but vu ka customer support bhot bekar hai , bacho se tv lock ho gya tha , vu me call kia to kahne lage amazon me baat karo , matlb tv ka lock amazon wale batenge , amazon me baat ki to kahte hai vu me baat karo , baad me maine hi kisi tarah uska lock khola , but vu customer support bhot bekar hai , vu ka smart tv thik hai,in time delivery and proper installation at the time of delivery itself. value for money for 32"" tv requirement with branded product.,good product,tv is awesome, one problem is casting, whey you cast video from hotstar it comes black screen. other than that picture and sound quality is awesome.,picture quality just ok. sharpness missingsound and speakers need lot of improvementsettings and menu can be optimised furtheroverall it's a mid grade product,picture quality good as expected, internet experience also good",Positive,Positive,Positive,"vu brand superb quality,value for price,thik hai but android nahi hai,good model for entry level 32"" tv need.,good product value of money,great tv,the sound quality, speakers, picture quality are just ok. mid grade product at most,picture quality super,good quality , value for money.. in time installed,tv thik hai but vu ka customer support bhot bekar hai , bacho se tv lock ho gya tha , vu me call kia to kahne lage amazon me baat karo , matlb tv ka lock amazon wale batenge , amazon me baat ki to kahte hai vu me baat karo , baad me maine hi kisi tarah uska lock khola , but vu customer support bhot bekar hai , vu ka smart tv thik hai,in time delivery and proper installation at the time of delivery itself.","vu brand superb quality,value for price,thik hai but android nahi hai,good model for entry level 32"" tv need.,good product value of money,great tv,the sound quality, speakers, picture quality are just ok. mid grade product at most,picture quality super,good quality , value for money.. in time installed,tv thik hai but vu ka customer support bhot bekar hai , bacho se tv lock ho gya tha , vu me call kia to kahne lage amazon me baat karo , matlb tv ka lock amazon wale batenge , amazon me baat ki to kahte hai vu me baat karo , baad me maine hi kisi tarah uska lock khola , but vu customer support bhot bekar hai , vu ka smart tv thik hai,in time delivery and proper installation at the time of delivery itself. | other than that picture and sound quality is awesome.,picture quality just ok. sharpness missingsound and speakers need lot of improvementsettings and menu can be optimised furtheroverall it's a mid grade product,picture quality good as expected, internet experience also good","vu brand superb quality,value for price,thik hai but android nahi hai,good model for entry level 32"" tv need.,good product value of money,great tv,the sound quality, speakers, picture quality are just ok. mid grade product at most,picture quality super,good quality , value for money.. in time installed,tv thik hai but vu ka customer support bhot bekar hai , bacho se tv lock ho gya tha , vu me call kia to kahne lage amazon me baat karo , matlb tv ka lock amazon wale batenge , amazon me baat ki to kahte hai vu me baat karo , baad me maine hi kisi tarah uska lock khola , but vu customer support bhot bekar hai , vu ka smart tv thik hai,in time delivery and proper installation at the time of delivery itself."
"PROLEGENDÂ® PL-T002 Universal TV Stand Table Top for Most 22 to 65 inch LCD Flat Screen TV, VESA up to 800 by 400mm",Positive,4,"a good product.,does the job,overpriced item,a bit over priced,recommended,there is not fit to my tv so that why i return it,nice product,not worth ! a good product.,got this for old 40 inch lg tv which is heavier and thicker than current models. has held so far.,stand is easy to install... but price is too for this item.,the product is very goodfits perfectlya little bit over priced,it worked like a charm. handles my 65 inch panasonic tv well. easy to assemble.,i returned it because of not fitting to my tv that's why,nice product,serves the purpose but one should be careful around the stand. base is not wide enough for good balance. small push or touch will result in a fall. we have to be very careful while cleaning around",Neutral,Not Mentioned,Not Mentioned,"a good product.,does the job,overpriced item,a bit over priced,recommended,there is not fit to my tv so that why i return it,nice product,not worth ! | has held so far.,stand is easy to install... but price is too for this item.,the product is very goodfits perfectlya little bit over priced,it worked like a charm.",,
"EYNK Extra Long Micro USB Fast Charging USB Cable | Micro USB Data Cable | Quick Fast Charging Cable | Charger Sync Cable | High Speed Transfer Android Smartphones V8 Cable (2.4 Amp, 3m,) (White)",Positive,4,"extended length for securiry camera,dont judge a book by it's cover,good sturdy product with neat finish.,cable quality is good and near 10 ft in length,good enough to length,good product,perfect!,super i purchased to connect my security camera. the purpose is met. ok product,firstly it's good enough in length , i like this but only long data cable otherwise it's not charge fast it's a normal cable .,i used it for my wi-fi camera installed outside my house.,cable quality is good and near 10 ft in length,my purpose was to charge my device from a plug point which was bit far. it has served the purpose. length is about 10 feet so it is ok. charging is good.,haven't used it much, but seems to work fine so far.,want length of 10ft, well it's 9.8ft;so,don't buy if u r gð± 2ml-short-in my90ml;for the rest of us, just order!,very good",Not Mentioned,Positive,Positive,,"extended length for securiry camera,dont judge a book by it's cover,good sturdy product with neat finish.,cable quality is good and near 10 ft in length,good enough to length,good product,perfect!,super i purchased to connect my security camera. | ok product,firstly it's good enough in length , i like this but only long data cable otherwise it's not charge fast it's a normal cable .,i used it for my wi-fi camera installed outside my house.,cable quality is good and near 10 ft in length,my purpose was to charge my device from a plug point which was bit far.","ok product,firstly it's good enough in length , i like this but only long data cable otherwise it's not charge fast it's a normal cable .,i used it for my wi-fi camera installed outside my house.,cable quality is good and near 10 ft in length,my purpose was to charge my device from a plug point which was bit far."
